16 18
0         0
0    3.3333
0    6.6667
0   10.0000
3.3333         0
3.3333    3.3333
3.3333    6.6667
3.3333   10.0000
6.6667         0
6.6667    3.3333
6.6667    6.6667
6.6667   10.0000
10.0000         0
10.0000    3.3333
10.0000    6.6667
10.0000   10.0000
15    11    14
6     2     5
11     7    10
1     5     2
3     2     6
7     3     6
6     5     9
8     4     7
10     7     6
4     3     7
12     8    11
12    11    15
8     7    11
16    12    15
10     9    13
11    10    14
 6     9    10
10    13    14
